billing_month,customer_id,"Current Month Revenue","Previous Month Revenue","Net MRR Change","Net MRR Percent Change"
2024-11-01,10001,2000.00,0.00,2000.00,0.01000000
2024-12-01,10001,5000.00,2000.00,3000.00,0.01500000
2025-01-01,10001,5000.00,5000.00,0.00,0.00000000
2025-02-01,10001,5000.00,5000.00,0.00,0.00000000
2025-03-01,10001,5000.00,5000.00,0.00,0.00000000
2025-04-01,10001,5000.00,5000.00,0.00,0.00000000
2025-05-01,10001,5000.00,5000.00,0.00,0.00000000
2025-06-01,10001,5000.00,5000.00,0.00,0.00000000
2025-07-01,10001,5000.00,5000.00,0.00,0.00000000
2025-08-01,10001,5000.00,5000.00,0.00,0.00000000
2025-09-01,10001,5000.00,5000.00,0.00,0.00000000
2025-10-01,10001,5000.00,5000.00,0.00,0.00000000
2025-11-01,10001,5000.00,5000.00,0.00,0.00000000
2025-12-01,10001,5000.00,5000.00,0.00,0.00000000
2026-01-01,10001,5000.00,5000.00,0.00,0.00000000
2026-02-01,10001,5000.00,5000.00,0.00,0.00000000
2026-03-01,10001,5000.00,5000.00,0.00,0.00000000
2026-04-01,10001,5000.00,5000.00,0.00,0.00000000
2026-05-01,10001,5000.00,5000.00,0.00,0.00000000
2026-06-01,10001,5000.00,5000.00,0.00,0.00000000
2026-07-01,10001,5000.00,5000.00,0.00,0.00000000
2026-08-01,10001,5000.00,5000.00,0.00,0.00000000
2026-09-01,10001,5000.00,5000.00,0.00,0.00000000
2026-10-01,10001,5000.00,5000.00,0.00,0.00000000
2026-11-01,10001,3000.00,5000.00,-2000.00,-0.00400000
2025-03-01,10003,403.23,0.00,403.23,0.01000000
2025-04-01,10003,2500.00,403.23,2096.77,0.05199936
2025-05-01,10003,2500.00,2500.00,0.00,0.00000000
2025-06-01,10003,2500.00,2500.00,0.00,0.00000000
2025-07-01,10003,2500.00,2500.00,0.00,0.00000000
2025-08-01,10003,2500.00,2500.00,0.00,0.00000000
2025-09-01,10003,2630.10,4596.77,-1966.67,-0.00427837
2025-10-01,10003,4000.00,533.33,3466.67,0.06500047
2025-11-01,10003,4000.00,4000.00,0.00,0.00000000
2025-12-01,10003,4000.00,4000.00,0.00,0.00000000
2026-01-01,10003,4000.00,4000.00,0.00,0.00000000
2026-02-01,10003,4000.00,4000.00,0.00,0.00000000
2026-03-01,10003,4000.00,4000.00,0.00,0.00000000
2026-04-01,10003,4000.00,4000.00,0.00,0.00000000
2026-05-01,10003,4000.00,4000.00,0.00,0.00000000
2026-06-01,10003,4000.00,4000.00,0.00,0.00000000
2026-07-01,10003,4000.00,4000.00,0.00,0.00000000
2026-08-01,10003,4000.00,4000.00,0.00,0.00000000
2026-09-01,10003,3466.67,4000.00,-533.33,-0.00133333
2024-12-01,10005,5322.58,0.00,5322.58,0.01000000
