TABLE_NAME,TABLE_TYPE,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_DEFAULT,COLUMN_KEY,EXTRA
contract,"BASE TABLE",id,int,NO,NULL,PRI,auto_increment
contract,"BASE TABLE",monthly_revenue,"decimal(15,2)",NO,NULL,,
contract,"BASE TABLE",customer_id,int,NO,NULL,MUL,
contract,"BASE TABLE",sales_rep_id,int,YES,NULL,,
contract,"BASE TABLE",signature_date,date,YES,NULL,,
contract,"BASE TABLE",opportunity_status,varchar(50),YES,"closed won",,
contract,"BASE TABLE",contract_meeting_target,int,YES,0,,
contract,"BASE TABLE",contract_term,int,YES,NULL,,
contract,"BASE TABLE",recurring,tinyint,YES,NULL,,"VIRTUAL GENERATED"
contract,"BASE TABLE",go_live,"decimal(10,0)",YES,NULL,,
contract,"BASE TABLE",opt_out,tinyint(1),YES,NULL,,
contract,"BASE TABLE",guarantee,"decimal(10,0)",YES,NULL,,
contract,"BASE TABLE",go_live_deadline,date,YES,NULL,,"VIRTUAL GENERATED"
contract,"BASE TABLE",go_live_month_days,tinyint,YES,NULL,,"VIRTUAL GENERATED"
contract,"BASE TABLE",go_live_active_days,tinyint,YES,NULL,,"VIRTUAL GENERATED"
contract,"BASE TABLE",opt_out_eligibility,date,YES,NULL,,"VIRTUAL GENERATED"
contract,"BASE TABLE",contract_end_date,date,YES,NULL,,"VIRTUAL GENERATED"
contractmrr_categorized,VIEW,contract_id,int,YES,NULL,,
contractmrr_categorized,VIEW,customer_id,int,YES,NULL,,
contractmrr_categorized,VIEW,start_date,date,YES,NULL,,
contractmrr_categorized,VIEW,end_date,date,YES,NULL,,
contractmrr_categorized,VIEW,invoiced_revenue,"decimal(19,2)",YES,NULL,,
contractmrr_categorized,VIEW,contract_invoice_num,bigint,YES,NULL,,
contractmrr_categorized,VIEW,customer_contract_count,"bigint unsigned",NO,0,,
contractmrr_categorized,VIEW,revenue_category,varchar(11),NO,,,
contractmrrsummary,VIEW,contract_id,int,YES,NULL,,
contractmrrsummary,VIEW,customer_id,int,YES,NULL,,
contractmrrsummary,VIEW,start_date,date,YES,NULL,,
contractmrrsummary,VIEW,end_date,date,YES,NULL,,
contractmrrsummary,VIEW,revenue,"decimal(19,2)",YES,NULL,,
contractmrrsummary,VIEW,contract_invoice_num,bigint,YES,NULL,,
contractsummary,VIEW,id,int,NO,0,,
contractsummary,VIEW,monthly_revenue,"decimal(15,2)",NO,NULL,,
contractsummary,VIEW,customer_id,int,NO,NULL,,
contractsummary,VIEW,sales_rep_id,int,YES,NULL,,
contractsummary,VIEW,signature_date,date,YES,NULL,,
contractsummary,VIEW,opportunity_status,varchar(50),YES,"closed won",,
contractsummary,VIEW,contract_meeting_target,int,YES,0,,
contractsummary,VIEW,contract_term,int,YES,NULL,,
contractsummary,VIEW,recurring,tinyint,YES,NULL,,
contractsummary,VIEW,go_live,"decimal(10,0)",YES,NULL,,
contractsummary,VIEW,opt_out,tinyint(1),YES,NULL,,
contractsummary,VIEW,guarantee,"decimal(10,0)",YES,NULL,,
contractsummary,VIEW,go_live_deadline,date,YES,NULL,,
contractsummary,VIEW,go_live_month_days,tinyint,YES,NULL,,
contractsummary,VIEW,go_live_active_days,tinyint,YES,NULL,,
contractsummary,VIEW,opt_out_eligibility,date,YES,NULL,,
contractsummary,VIEW,contract_end_date,date,YES,NULL,,
contractsummary,VIEW,total_revenue,"decimal(25,2)",NO,0.00,,
contractsummary,VIEW,first_month_proration,"decimal(19,2)",YES,NULL,,
contractsummary,VIEW,first_month_daily_rate,"decimal(16,2)",YES,NULL,,
contractsummary,VIEW,final_month_proration,"decimal(20,2)",YES,NULL,,
contractsummary,VIEW,remaining_contract,"decimal(26,2)",YES,NULL,,
customer,"BASE TABLE",id,int,NO,NULL,PRI,auto_increment
customer,"BASE TABLE",name,varchar(255),NO,NULL,,
customer,"BASE TABLE",industry_id,int,YES,NULL,,
customer,"BASE TABLE",city,varchar(100),YES,NULL,,
customer,"BASE TABLE",state,varchar(50),YES,NULL,,
customer,"BASE TABLE",zip,varchar(20),YES,NULL,,
customer,"BASE TABLE",status,"enum('prospecting','onboarding','active','canceled','winback')",YES,prospecting,,
customer,"BASE TABLE",created_at,datetime,YES,CURRENT_TIMESTAMP,,DEFAULT_GENERATED
